time,open,high,low,close,volume
4/10/2025,82617.98,82617.98,78750.38,79609.67,94987109013
4/9/2025,76067.55,83476.48,74670.3,82619.88,89266414296
4/8/2025,79265.03,80757.99,76352.03,76379.96,95111641621
4/7/2025,77958.02,80226.15,74530.04,79261.19,1.02E+11
4/6/2025,83533.45,83704.76,77296.39,78310.34,29747694062
4/5/2025,83769.12,84219.7,82384.97,83582.03,54248864826
4/4/2025,83259.08,84676.27,81767.53,83879.86,62632262272
4/3/2025,82259.03,83781.7,81307.75,83199.95,77668432600
4/2/2025,85170.68,87898.01,82487.4,82548.31,52376111578
4/1/2025,82612.64,85417.94,82470.01,85216.81,47683970205
3/31/2025,82393.71,83750,81365.02,82541.29,38919650975
3/30/2025,82655.67,83524.98,81650.45,82345.82,31733338257
3/29/2025,84364.84,84573.51,81771.86,82659.11,42848927373
3/28/2025,87134.99,87487.48,83664.96,84428.01,50686956681
3/27/2025,86943.66,87706.66,85938.04,87233.76,45790132375
3/26/2025,87333.61,88245.26,85937.46,86945.41,47668895554
3/25/2025,87345.15,88448.53,86349.98,87483.06,56119416636
3/24/2025,85967.42,88654.16,85568.55,87365.98,92018925792
3/23/2025,83833.25,85804.35,83833.25,85750.02,65768043880
3/22/2025,84074.52,84528.35,83742.1,83798.13,92973716555
3/21/2025,84335.64,84789.6,83364.81,84050.18,70499840455
3/20/2025,87309.29,87410.59,83765.74,84304.83,62868771995
3/19/2025,82658.81,86891.95,82611.59,86793.7,78132906442
3/18/2025,83919.26,83949.09,81221.47,82799.03,96487660397
3/17/2025,82643.23,84663.79,82643.23,84067.57,47257506664
3/16/2025,84346.05,84739.84,82065.51,82576.96,31567641072
3/15/2025,84063.17,84652.22,83675.09,84368.36,46550538211
3/14/2025,80991.38,85126.59,80866.26,83957.61,56526744238
3/13/2025,83827.62,84187.97,79995.68,81146.12,61086516899
3/12/2025,82799.95,84070.35,80915.88,83887.28,76918860095
3/11/2025,78951.25,83390.39,76794.34,82840.24,89456436399
3/10/2025,81277.03,83767.51,77523.99,78794.69,73877158368
3/9/2025,86164.45,86449.41,80213.41,80771.68,34642707911
3/8/2025,86715.98,86866.21,85265.53,86159.9,72159444574
3/7/2025,90117.99,90938.71,85051.68,86832.99,97762631402
3/6/2025,90680.38,92738.04,88101.89,90056.86,77139096016
3/5/2025,87062.04,90855.97,86429.91,90614.42,90614579558
3/4/2025,86086.02,88848.48,81942.81,87322.12,1.08E+11
3/3/2025,93956.01,93956.01,85353.3,86286.03,1.09E+11
3/2/2025,86055.01,94808.02,85107.4,94233.81,54036914312
3/1/2025,84307.46,86541.42,83867.88,86006.06,82169791728
2/28/2025,84874.36,84888.2,78534.47,84501.01,1.15E+11
2/27/2025,84352.25,87020.64,82853.95,84813.78,1.01E+11
2/26/2025,88600.08,89398.46,82402.48,84000,99646076735
2/25/2025,91725.79,92516.4,86329.96,88797.34,1.04E+11
2/24/2025,96247.37,96496.49,91453.66,91453.66,42915703252
2/23/2025,96525.93,96649.99,95261.67,96247.99,28491898335
2/22/2025,96007.97,96874.02,95804.04,96551.04,62605448426
2/21/2025,98405.09,99433.96,95005.59,96161.18,55048598577
2/20/2025,96655.17,98684.87,96496.28,98386.99,46556523352
2/19/2025,95611.05,96824.87,95041.74,96559.3,57227125160
2/18/2025,95872.11,96639.7,93494.19,95532.97,46646393398
2/17/2025,96158.2,96928.96,95233.09,95811.35,35606804164
2/16/2025,97608.91,97702.41,96126.98,96126.98,24935455180
2/15/2025,97441.96,97964.82,97286.16,97551.71,43880503846
2/14/2025,96634.17,98629.06,96322.62,97483.36,48799409931
2/13/2025,97692.8,98062.17,95360.04,96551.64,63136043802
2/12/2025,95885.71,98044.11,94336.27,97799.93,58173352163
2/11/2025,97467.69,98424.33,94926.49,95783.6,46753246914
2/10/2025,96782.88,98215.75,95499.98,97372.05,53325970817
2/9/2025,96442.54,97278.04,94807.91,96515.22,32116590763
